"","Index","Metro","MeanSalaryAdjusted","MeanSalaryUnadjusted","MeanSalary","NumberJobs","HomePrice","City","LivingCost","Rent","PlusRent","PurPower"
"47",46,"Nashville-Davidson--Murfreesboro--Franklin, TN",98623,93987,48370,5290,255300,"Nashville, TN",1040.2,2054.4,3094.6,6877.7
"48",47,"Oklahoma City, OK",98617,90135,47120,3640,146700,"Oklahoma City, OK",917.6,1222.3,2139.9,7895.2
"49",48,"Detroit-Warren-Dearborn, MI",98156,94033,53690,28450,162200,"Detroit, MI",998.7,1407.3,2406,6790.6
"50",49,"San Diego-Carlsbad, CA",97974,113650,58090,19130,590700,"San Diego, CA",1066.3,2640.7,3707,7894.6
"51",50,"Pittsburgh, PA",97043,91220,50070,11060,143200,"Pittsburgh, PA",1163.7,1503,2666.7,7126.9
"52",51,"New York-Newark-Jersey City, NY-NJ-PA",96686,118247,64550,98650,442500,"New York, NY",1412.9,3840,5252.9,6170.5
"53",52,"New York-Newark-Jersey City, NY-NJ-PA",96686,118247,64550,98650,442500,"Jersey City, NJ",1141.5,2419.2,3560.7,9619.2
"54",53,"Milwaukee-Waukesha-West Allis, WI",96580,92234,51040,6710,232300,"Milwaukee, WI",1011.1,1410,2421.1,6737.6
"55",54,"Indianapolis-Carmel-Anderson, IN",96448,88732,49380,8470,166800,"Indianapolis, IN",948.6,1387,2335.6,7499
"56",55,"Fort Collins, CO",95969,98176,51050,1190,383600,"Fort Collins, CO",1027.9,1654.6,2682.5,6191.5
"57",56,"Charleston-North Charleston, SC",95609,91976,46200,2000,255100,"Charleston, SC",1091.6,1866.6,2958.2,7482.4
"58",57,"Kansas City, MO-KS",95308,88732,50200,12480,192900,"Kansas City, MO",933.5,1286.4,2219.9,7848.9
"59",58,"Tulsa, OK",95187,86049,46170,1770,138200,"Tulsa, OK",881,1110.5,1991.5,8148.2
"60",59,"Rochester, NY",94819,93112,50830,4950,146600,"Rochester, NY",1011.2,1118.6,2129.8,6177.9
"61",60,"Louisville/Jefferson County, KY-IN",94320,85737,45740,4950,162300,"Louisville, KY",956.7,1238,2194.7,6766
"62",61,"Albany-Schenectady-Troy, NY",94051,94615,54400,2980,217600,"Albany, NY",1010.1,1332.5,2342.6,8006.2
"63",62,"Buffalo-Cheektowaga-Niagara Falls, NY",93735,88955,49420,3170,159300,"Buffalo, NY",1049.7,1135.1,2184.8,7673.6
"64",63,"Little Rock-North Little Rock-Conway, AR",93194,84434,45020,1810,140600,"Little Rock, AR",837.3,983,1820.3,8087.7
"65",64,"Boise City, ID",93112,87712,45470,2390,287300,"Boise, ID",964.9,1662.3,2627.2,5098.7
"66",65,"Ann Arbor, MI",92683,94258,55130,2650,290500,"Ann Arbor, MI",993,1842,2835,9872.2
"67",66,"Akron, OH",92207,83355,48910,2590,141900,"Akron, OH",878.8,879.3,1758.1,6348.8
"68",67,"Jacksonville, FL",91568,87355,46920,4530,214100,"Jacksonville, FL",982.1,1358.2,2340.3,8904
"69",68,"Albuquerque, NM",91010,87097,46860,1770,199500,"Albuquerque, NM",896.4,1302.1,2198.5,7555.2
"70",69,"Spokane-Spokane Valley, WA",90269,85575,49200,1120,243200,"Spokane, WA",962.3,1347.4,2309.7,6933.2
"71",70,"Madison, WI",90238,87350,52890,8770,257700,"Madison, WI",951.2,1488,2439.2,8153.1
"72",71,"Memphis, TN-MS-AR",89921,81918,44610,1590,139900,"Memphis, TN",880.1,1340.5,2220.6,6784.5
"73",72,"Cleveland-Elyria, OH",89040,80314,50470,8220,146500,"Cleveland, OH",1065.5,1355.1,2420.6,7732.9
"74",73,"Miami-Fort Lauderdale-West Palm Beach, FL",88249,95662,48240,13740,283400,"Miami, FL",1102.1,2494.4,3596.5,5782.4
"75",74,"Miami-Fort Lauderdale-West Palm Beach, FL",88249,95662,48240,13740,283400,"Fort Lauderdale, FL",1086,2171.9,3257.9,6252
"76",75,"Eugene, OR",85912,84021,47320,1220,293900,"Eugene, OR",984,1448,2432,5443
"77",76,"Urban Honolulu, HI",72811,90796,54870,1590,678200,"Honolulu, HI",1464.5,2498.7,3963.2,5506.6
